Exclude,V1,Q40,Q41,Q42,Q43
0,R_2WDpvQ0IKBOjRsm,Yes,No,No idea ,Nope 
0,R_2EmmHzvvrBNJag3,Yes ,No ,I'm a little confused ,
0,R_1f1NVUzmR1uLu5t,yes,no,sculptures were of a struggling man and the questions have been about people who face adversity,"give an option for ""I'm not sure"""
0,R_3fdjqECtFeEnsrK,i suppose,the pictures from the beginning,none?,explain affirmative action
0,R_278o243jwMDUBJc,yes,a little bit,,
0,R_5nI8VbFSw6LRjuV,Yes,No,I have no clue,No
0,R_3gZW4qsQRWlyWPb,Yes,No,No idea,N/A
0,R_2qn4RIMHbgbt6cP,yes,the pictures in survey A,education ,no
0,R_2ylrNcSmpvzZc1k,Yes,No,No relation,No
0,R_21HRu5bcabXakBi,yes,"yes, part A",religion and political ideals,no
0,R_3CICc9Pki9PhBdT,Yes,No,I do not know,No
0,R_1I61F2YjOsp3Gcm,Yes,Yes,Not sure,None
0,R_9LCe72TW1gEoz3b,Yes,No,The pictures influence was to think more philosophically,None
0,R_1mCQMG9bl04JZTz,Yes,Yes,Not sure...,No
0,R_1FM2LG4e0AQYTxC,Yes,No,None,None
0,R_2albsxz5BtDutYP,yes,no,religion and prejudice,no
0,R_116NVraS9RqmQKq,yes,no,social programs,nah
0,R_Q3TqD4rPTOuurcd,Yes,The 4 pictures of Rodin thing was weiiiiird,"My guess: you want to see if completing the look-at-the-pictures mini-study before the affirmative action questionnaire will make people less supportive of affirmative action. Looking at ""The Thinker"" primes concepts of individuality, which will make people resist collectivism and government aid.",No
0,R_3MbRTheLIN2ZuQD,not at all,random questions,I'm assuming you'll give me a bs connection,nope
0,R_1kNOujq9KXiM6qY,yes,yes,nothing,nothing
0,R_1Kj3WwPVR901XPz,Yes,No,Religion and how it affects societal views,No
0,R_1OZZ25c27dz5NYh,Yes,Yes,race & gender to personal politics,no
0,R_27CjLidOE7i29ye,yup.,"these questions seem to tbe the steretypical ""i bet this is what you think, you have no real world experience"" liberals would ask of people who don't support affirmative action.",can't think of one yet,"seeing as i can't tell the connection, how could i offer meaningful help?"
0,R_uxpBivugbEf2pON,Sort of,No,No idea,N/A
0,R_cC3Q3Qb3tMfbEul,Yes,No,None,no
0,R_1E5TZkOZ0k2Rx30,yes,no,the order to determine if multiple perspectives (empathy) relates to feelings about discrimination,no
0,R_2VEfPeqDo179Oo2,yes,yes,i am not sure,i am not sure
0,R_3LjqLFBVFq67pyb,Yes,Yes,No idea,Explain the images presented in the first part
0,R_9ZYg1kctbJgJ8ZP,yes,no,peole's backgrounds correlating with discrimination,no
0,R_2YkOJ12shcflSjA,Yes,No,They seem relatively unrelated ,No
0,R_1ojqlLQMOvXnkMd,yes,no,none,no
0,R_1mXFJQpuADLUcdO,Yes,No,I have no clue - maybe to compile different information about my personality.,No
0,R_bOvzbKfczcOfkgV,Yeah,Kinda,Perspective,No
0,R_2QR68jTlehQcKoR,Yes,The sudden introduction of questions about the government was a little strange.,How people perceive systems as separate parts and a whole comprised of different parts.,Don't call it an essay (it is only a paragraph)? That is a minor adjustment though.
0,R_3qRdYKX9OkypdOF,Yes,No,Unknown,No
0,R_3GCduwRUW5LhU4i,yes,no,the power an iindividual has in intelligence/success,A free response for people to explain why they are for or against affirmative action
0,R_Xz7FCgzd9cTjIat,yes,sort of,not sure ,no
0,R_2OHmenixRNk2h6d,yes,no,no clue,nope
0,R_2SiZViokq7v99bZ,yes,the 4 photos at the beginning,nothing,no
0,R_XBvDy95AOaZUHOV,Yes,I don't see how the mini studies relate,No idea ,No
0,R_1JUBdfksX62RMYo,Yes,No,?,none
0,R_2R253lnSWFeJfMA,yes,the essay and the pictures,i do not know,no
0,R_2OUb0JT2y1oVuP6,yes,no,,
0,R_3JeDURkbceX3iQj,yes,no,not sure,no
0,R_1fdSqr6jH97FZtG,yes,"what was the purpose of those 4 pictures? didn't ask anything during that ""mini-study""",a lot of religions care about charity which could be linked to affirmative action/government programs ensuring that others are doing alright,
0,R_2EtJiYbAzWGq67V,yes,not really,how different angles can make people think differently,not really
0,R_1hL3qOyo952NR5h,Yes,Yes,Don't know,no
0,R_1Q9j9Ik2HC97h4y,yes,yes,nothing,no
0,R_2zTkboEhESk54va,yes,no,not sure,no
0,R_7QKhj9ylFnv8WbL,Yes,No,I don't know,No
0,R_3m3lbHHNsKPSNIQ,Yes,No,None,None
0,R_3gY4eCB3UlTI2qE,Yes,No,People from different backgrounds have different views on things,No
0,R_1QLdXiV7fyfVq4d,yes,no,Not quite sure,none 
0,R_29npEmTbGvmqIui,yes,no,i honestly dont know,so far so good
0,R_3NLrSiKPXQnswLW,no,yes,I have no clue,"I cannot think of any, no."
0,R_5yX23ReSQf9MCHv,yes,The first study did not include interaction from the subject.,Sex-based inequality,
0,R_RekLRIkhyFCMAgx,yes,yes,one was a distractor?,
0,R_1C3jR0P1gFLLgf5,yes,no,competition ,no
0,R_3k5FkGYFkDQb6OQ,Yes,"Yes, the questions about government are very general. ",Looking at things from multiple perspectives.,
0,R_1QFSU43B3Ll7rho,Yes,Yes,Maybe somehow viewing the art and putting in information about yourself will change your view on affirmative action somehow.,No
0,R_C3nJDMkhyU1qsUh,yes,no,?,no
0,R_3iwEuW4OUAtrUtm,Yes,That I was shown pictures of a statue and now I'm answering questions about affirmative action ,Not much,
0,R_2QsTPkaZvGzcvH9,Yes,Yes - I'm not sure why I looked at pictures for 30 seconds each,To determine if I am socially and politically liberal,N/A
0,R_2vi7Rx97L01XWoI,Yes,The pictures seem random,"The relationship is that they provide different perspectives on things, and then your own perspective.",No suggestions.
0,R_3MorYAeBC0mz0GO,I guess,I wasn't able to read the paper,"memory, focus on a single issue",
0,R_2TRUjOJ6GUofTzP,sure,the random element of the studies,i can't discern tehm,no
0,R_3koBpy4JdEdiChO,Yes,Yes,"B and C were connected so B was to get background information on the participant such as race, then their opinion on affirmative action. Not sure what the purpose of A was.",NA
0,R_3PjItajFDVmCqH0,yes,no,nothing,no
0,R_1LLL6RYCI2fzebA,Yes,No,Human Nature,
0,R_snwuNH2CdEUnisV,yes,no,none,no
0,R_1dbml3WYUu6Pq7x,yes,the photos,not sure,no
0,R_2YVwS5bFo4J7Okj,Yes,No,No idea ,No
0,R_2YfRIfhg02fZ42V,yes,no,not sure.,"wish I could, but no."
0,R_1daVyqOpsLQWybq,yes,yes,no idea,no
0,R_1oaIIL66VGxCl0f,yes,no,Show what you focus on ,seems good
0,R_2TAlLX5y3KYzPOC,yes,the relation between the pictures and the essay,I am not sure,n/a
0,R_OCiurevpsdwCvxD,yes,no,thought,no
0,R_AAjlYptc6uHCtrj,Yes,No,No idea,No
0,R_6usdWjS0pBll77X,yes,"yes, why did I look at photos of statues",I'm not so sure.. maybe a relationship between how religious and how racist people are?,I would need more info about what the questionnaires are trying to discover
0,R_1mDl9LBAAIFLJDy,Yes,No,I have no idea,
0,R_24UqYigMK7h8syR,Yes,No,,
0,R_2QEhCehSIVUfYAe,yes,no,unsure,n/a
