V1,V2,V3,V4,V5,V7,V8,V9,V10,FAE,Order,Condition,Q1,Q2,Q3,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q26,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q29,Q30,Q32,DV_1,Gender,Gender_TEXT,Age,Ethnicity,Ethnicity_TEXT,Religion,Religion_TEXT,Q37,Q38,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q62,Q58,Q60,Q62,Q64,Q66,Q68,Q70,Q72,Q74,Q76,Q78,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98,Q100,Q102,Q104,Q106,Q108,Q110,Q112,Q114,Q64,Q66,Q68,Q40,Q41,Q42,Q43,Q83,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,FAE,Order,Condition,Informed Consent Agreement Please read this consent agreement carefully before you decide to part...,This questionnaire consists of a number of separate mini-studies. Please try to complete them all...,Please select a letter to pick your first mini-study.,"In this study, you will be presented with four different images. Please look at each one carefull...",the_thinker_1.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",The_Thinker_2.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",the-thinker4.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",thinker-3.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",Discobolus,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",discobolus4.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",discus1.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"In this study, you will be presented with four different images. Please look at each one carefull...",discus2.jpg,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,This questionnaire consists of a number of separate mini-studies. Please try to complete them all...,Please select a letter to pick your next mini-study.,"For this portion, we need to collect some basic demographic information.","We are interested in your belief in God, from 0 to 100. To clarify, if you are certain that God d...-Please select a value",What is your sex/gender?,What is your sex/gender?-TEXT,How old are you?,What is your race/ethnicity?,What is your race/ethnicity?-TEXT,What is your religion?,What is your religion?-TEXT,This questionnaire consists of a number of separate mini-studies. Please try to complete them all...,Please select a letter to pick your next mini-study.,The following essay either argues for or against affirmative action. We would like you to read th...,Affirmative action is good for society because it supports the basic commitment America has to pr...,"Dr. Wallace is teaching a course on national politics at an East Coast university. In his class,...","In your estimate, what is Jane‰Ûªs own, personal attitude on the use of affirmative action?","If Jane had a chance to express her attitudes freely, what attitude would she express on the use...",What attitude do you think the average student at UVA has on the use of affirmative action?,What is your attitude on the use of affirmative action?,How much freedom or constraint did Jane have when she wrote the essay?,How persuasive is Jane‰Ûªs essay?,Please indicate how much you agree with the following statements on affirmative action.,Affirmative action is an outdated policy now that people are generally treated as equals.,Discrimination does not exist today to such a degree that affirmative action policies are necessary.,Affirmative action does not help eradicate discrimination. Instead it exacerbates it by promoting...,Affirmative action is a problem because it treats people unequally.,People who complain about discrimination are often just blaming other people for their own problems.,"I think people imagine more barriers, such as discrimination, than actually exist.","Based on my own experience and the people around me, it‰Ûªs hard for me to feel sorry for people wh...",Please indicate how much you agree with the following statements on competition.,People should be allowed to compete to ensure that the best person wins.,Being competitive is part of human nature.,Competition is a good way to discover and motivate the best people.,Shielding children from competition does not prepare them for adulthood.,"Fairness means letting people have equal opportunity, not guaranteeing equal outcome. ",Please indicate how much you agree with the following statements about the individual's role in h...,Anybody can get ahead in the world if they learn to play the game.,Any goal can be achieved with enough hard work and talent.,"Right now, pretty much all Americans are free to live any kind of life they want.","When it comes to challenges like discrimination, individuals just have to be tough enough to over...","I‰Ûªve benefited from working hard, so there‰Ûªs no reason others can‰Ûªt.","If you‰Ûªre smart and strong enough, discrimination won‰Ûªt hold you back.",A person‰Ûªs success in life is determined more by his or her personal efforts than by society.,Anyone who is willing to work hard can be successful in America.,Please indicate how much you agree with the following statements on the role of government.,A problem with government social programs is that they get in the way of personal freedom.,"The government is inefficient, and therefore should not interfere in the private sector.",The government often hurts individual ambition when it interferes.,The government does not have a right to take what I earn and give it to someone else.,Social programs sponsored by the government provide false incentives and unearned rewards.,The following essay either argues for or against affirmative action. We would like you to read th...,Affirmative action is a problem for society because it violates the basic commitment America has...,"Dr. Wallace is teaching a course on national politics at an East Coast university. In his class,...",Have the instructions been clear so far?,Has anything seemed strange so far?,"What, if anything, do you think is the relationship between the mini-studies you have completed s...",Can you suggest any further ideas that might help us improve future questionnaires?,"Thank you for participating in these studies! In this session, we asked you questions as part of...",LocationLatitude,LocationLongitude,LocationAccuracy
R_2WDpvQ0IKBOjRsm,Default Response Set,Anonymous,,,0,11/21/16 8:54,11/21/16 9:04,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,41.301,0,1,1,0,0,34.781,0,1,1,0,0,33.122,0,1,1,0,0,35.054,0,1,3,1,100,2,,19,3,,4,,1,2,,,,2,2,5,1,6,4,1,7,7,6,6,7,7,7,1,5,3,3,2,4,1,6,7,7,7,7,7,7,7,1,7,7,7,7,7,1,1,1,Yes,No,No idea ,Nope ,1,38.83369446,-77.12039948,-1
R_2EmmHzvvrBNJag3,Default Response Set,Anonymous,,,0,11/21/16 9:01,11/21/16 9:10,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,35.781,0,1,1,0,0,40.088,0,1,1,0,0,35.755,0,1,1,0,0,37.98,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,82,2,,18,3,,1,,1,3,1,1,1,4,4,6,2,5,4,1,7,7,6,6,7,7,7,1,4,5,5,3,5,1,5,6,7,7,5,6,5,6,1,6,4,3,5,6,,,,Yes ,No ,I'm a little confused ,,1,38.08880615,-78.55919647,-1
R_1f1NVUzmR1uLu5t,Default Response Set,Anonymous,,,0,11/21/16 9:07,11/21/16 9:16,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,34.512,0,1,1,0,0,31.999,0,1,1,0,0,32.312,0,1,1,0,0,34.24,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,83,2,,18,1,,10,,1,3,1,1,1,3,4,5,2,6,4,1,7,7,6,7,7,7,7,1,4,2,3,3,2,1,7,5,7,6,7,6,6,7,1,4,6,6,7,7,,,,yes,no,sculptures were of a struggling man and the questions have been about people who face adversity,"give an option for ""I'm not sure""",1,38.08880615,-78.55919647,-1
R_3fdjqECtFeEnsrK,Default Response Set,Anonymous,,,0,11/21/16 9:13,11/21/16 9:22,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,37.204,0,1,1,53.663,53.663,55.959,1,1,1,0,0,32.149,0,1,1,0,0,43.219,0,1,2,1,100,1,,22,1,,3,,1,3,,,,4,4,4,4,4,5,1,7,7,1,1,7,7,7,1,7,1,7,4,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,1,1,i suppose,the pictures from the beginning,none?,explain affirmative action,1,38.08880615,-78.55919647,-1
R_278o243jwMDUBJc,Default Response Set,Anonymous,,,0,11/21/16 9:18,11/21/16 9:50,1,Pro,FAE First,Control,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,49.76,0,1,1,0,0,36.079,0,1,1,0,0,250.055,0,1,1,0,0,336.249,0,1,1,1,60,2,,19,6,,11,,1,3,1,1,1,2,3,4,6,6,1,1,2,3,5,5,2,3,3,1,4,4,3,6,3,1,6,4,3,3,3,5,4,4,1,4,5,3,2,6,,,,yes,a little bit,,,1,38.08880615,-78.55919647,-1
R_5nI8VbFSw6LRjuV,Default Response Set,Anonymous,,,0,11/21/16 9:50,11/21/16 10:01,1,Anti,FAE Second,Analytic,1,1,1,1,1,33.144,33.144,35.31,1,1,1,0,0,52.056,0,1,1,0,0,47.165,0,1,1,0,0,33.079,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,90,2,,19,10,Pakistani,4,,1,3,,,,3,4,5,4,3,3,1,6,7,4,6,7,5,6,1,2,2,2,2,6,1,2,2,5,6,3,6,4,4,1,4,4,3,3,3,1,1,1,Yes,No,I have no clue,No,1,38.08880615,-78.55919647,-1
R_3gZW4qsQRWlyWPb,Default Response Set,Anonymous,,,0,11/21/16 12:21,11/21/16 12:28,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6.725,6.725,38.585,1,1,1,0,0,35.727,0,1,1,0,0,32.397,0,1,1,0,0,33.772,0,1,2,1,61,2,,18,1,,12,Unity church,1,3,,,,4,4,5,3,7,2,1,7,7,5,6,7,6,7,1,6,5,3,4,5,1,6,4,6,5,4,5,5,5,1,4,5,5,5,7,1,1,1,Yes,No,No idea,N/A,1,38.03289795,-78.51370239,-1
R_2qn4RIMHbgbt6cP,Default Response Set,Anonymous,,,0,11/21/16 12:20,11/21/16 12:29,1,Pro,FAE Second,Analytic,1,1,1,1,1,9.681,10.839,35.168,2,1,1,0,0,35.102,0,1,1,40.885,40.885,42.01,1,1,1,0,0,37.138,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,86,1,,18,1,,12,methodist,1,3,1,1,1,3,3,4,3,5,4,1,5,5,3,5,3,3,5,1,2,2,2,2,2,1,2,2,3,3,2,2,2,2,1,5,3,5,2,3,,,,yes,the pictures in survey A,education ,no,1,38.03289795,-78.51370239,-1
R_2ylrNcSmpvzZc1k,Default Response Set,Anonymous,,,0,11/21/16 12:24,11/21/16 12:34,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.819,0,1,1,0,0,31.935,0,1,1,0,0,31.723,0,1,1,0,0,31.626,0,1,2,1,60,1,,18,1,,8,,1,3,1,1,1,1,2,3,1,7,4,1,7,7,7,7,7,7,7,1,2,1,2,5,1,1,7,7,7,7,7,7,7,7,1,7,7,6,7,7,,,,Yes,No,No relation,No,1,38.08880615,-78.55919647,-1
R_21HRu5bcabXakBi,Default Response Set,Anonymous,,,0,11/21/16 12:55,11/21/16 13:03,1,Anti,FAE First,Analytic,1,1,1,1,1,0,0,37.297,0,1,1,35.796,35.796,37.47,1,1,1,0,0,33.664,0,1,1,0,0,31.673,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,22,1,,19,1,,1,,1,3,,,,6,6,5,7,2,3,1,2,2,1,2,6,2,2,1,1,1,1,1,1,1,1,1,2,3,1,3,1,2,1,1,5,1,1,1,1,1,1,yes,"yes, part A",religion and political ideals,no,1,38.03289795,-78.51370239,-1
R_3CICc9Pki9PhBdT,Default Response Set,Anonymous,,,0,11/21/16 12:57,11/21/16 13:06,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.075,0,1,1,0,0,53.685,0,1,1,0,0,31.604,0,1,1,0,0,31.717,0,1,2,1,100,1,,18,7,,12,Baptist,1,3,,,,4,3,2,4,5,3,1,4,5,3,3,4,4,5,1,3,3,3,4,4,1,4,4,5,4,4,3,3,4,1,3,4,4,2,4,1,1,1,Yes,No,I do not know,No,1,38.08880615,-78.55919647,-1
R_1I61F2YjOsp3Gcm,Default Response Set,Anonymous,,,0,11/21/16 13:02,11/21/16 13:10,1,Pro,FAE Second,Analytic,1,1,1,1,1,7.741,7.741,43.567,1,1,1,0,0,51.29,0,1,1,0,0,62.464,0,1,1,0,0,95.374,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,2,,19,1,,11,,1,3,1,1,1,3,2,4,5,7,4,1,5,6,4,3,5,5,5,1,2,1,1,1,1,1,3,5,6,5,5,5,5,5,1,5,5,5,3,5,,,,Yes,Yes,Not sure,None,1,38.08880615,-78.55919647,-1
