subjectID_all,subjectID_cond,condition,charityChoice,freqDonation,familiar_Water,male,female,age
1,1,1,1,2,1,1,0,25
2,2,1,1,4,1,1,0,21
3,1,0,0,2,1,0,1,19
4,2,0,0,4,1,1,0,19
5,3,0,1,1,1,0,1,20
6,4,0,1,2,1,0,1,22
7,3,1,0,4,1,0,1,19
8,4,1,1,3,1,1,0,19
9,5,1,1,4,1,1,0,19
10,5,0,0,6,1,0,1,19
11,6,0,0,2,1,0,1,20
12,6,1,1,3,1,0,1,19
13,7,0,1,4,1,0,1,20
14,7,1,0,4,1,0,1,21
15,8,0,0,6,2,0,1,21
16,8,1,0,1,1,1,0,18
17,9,1,1,4,1,0,1,21
18,10,1,0,4,1,0,1,21
19,9,0,1,1,1,1,0,18
20,11,1,1,3,1,1,0,21
21,12,1,1,2,1,1,0,21
22,10,0,1,4,1,0,1,18
23,11,0,0,2,1,1,0,18
24,12,0,0,4,1,0,1,20
25,13,1,0,1,1,1,0,23
26,13,0,0,5,1,0,1,19
27,14,0,1,4,1,0,1,18
28,14,1,1,2,1,0,1,19
29,15,0,1,5,1,1,0,18
30,15,1,1,2,1,1,0,20
31,16,0,1,1,1,1,0,21
32,16,1,0,2,2,0,1,21
33,17,1,0,2,1,0,1,19
34,17,0,1,2,1,0,1,18
35,18,0,0,5,1,1,0,19
36,18,1,1,3,1,0,1,20
37,19,0,0,2,1,0,1,21
38,20,0,0,4,4,0,1,20
39,19,1,1,3,7,0,1,20
40,21,0,1,4,1,0,1,19
41,20,1,1,2,1,0,1,18
42,22,0,0,4,1,0,1,18
43,21,1,0,5,1,0,1,23
44,22,1,1,1,1,0,1,20
45,23,1,1,4,1,0,1,18
46,23,0,0,4,1,0,1,20
47,24,0,1,2,1,1,0,18
48,25,0,1,2,1,1,0,19
49,26,0,0,2,4,0,1,21
50,24,1,1,4,4,0,1,18
51,27,0,1,1,1,0,1,21
52,25,1,1,2,1,0,1,18
53,26,1,0,4,1,0,1,19
54,28,0,1,6,1,1,0,18
55,27,1,0,2,1,1,0,22
56,29,0,1,4,1,0,1,22
57,28,1,0,4,3,1,0,19
58,29,1,1,2,1,1,0,18
59,30,0,1,2,1,0,1,20
60,30,1,1,1,1,1,0,20
61,31,1,1,2,1,0,1,20
62,31,0,1,4,1,0,1,19
63,32,0,0,6,1,0,1,25
64,32,1,1,2,1,0,1,23
65,33,1,1,3,1,1,0,19
66,33,0,0,2,1,0,1,18
67,34,1,1,3,1,1,0,20
68,34,0,0,2,1,0,1,21
69,35,0,1,4,1,0,1,20
70,36,0,1,4,2,0,1,21
71,35,1,1,1,1,0,1,22
72,37,0,1,4,1,0,1,20
73,36,1,1,2,1,0,1,19
74,38,0,1,5,1,0,1,18
75,37,1,1,4,1,0,1,21
