participant,date,gender,comment,p0a1.1,p0a1.2,p0a1.3,p0a1.4,p0a1.5,p0a0.1,p0a0.2,p0a0.3,p0a0.4,p0a0.5,mean_p0a1,mean_p0a0
1,20161207,M, ,18835,18914,18756,18743,18755,18973,18889,18904,18766,18724,18800.6,18851.2
2,20161207,F, ,18629,18502,18508,18625,18517,18539,18564,18519,18539,18564,18556.2,18545
3,20161207,M, ,18597,18554,18735,18588,18564,18469,18684,18601,18976,18528,18607.6,18651.6
4,20161207,M, ,18531,18625,18532,18497,18467,18818,18594,18609,18495,18491,18530.4,18601.4
5,20161207,F, ,18768,18623,18576,18630,18526,18725,18650,18615,18612,18595,18624.6,18639.4
6,20161207,M, ,18501,18470,18449,18446,18478,18471,18539,18549,18476,18453,18468.8,18497.6
7,20161207,M, ,18782,18674,18604,18623,18575,18661,18818,18564,18677,18565,18651.6,18657
8,20161207,M, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds),18586,18822,18549,19842, ,18664,19154,18584,19410,18626,18949.75,18887.6
9,20161207,M, ,18545,18511,18498,18487,18498,18665,18835,18470,18475,18484,18507.8,18585.8
10,20161207,M, ,18966,18779,18682,18684,18546,18753,18733,18688,18722,18674,18731.4,18714
11,20161208,F, ,18571,18438,18476,18561,18554,18505,18459,18579,18603,18735,18520,18576.2
12,20161208,F, ,18532,18469,18501,18480,18492,18475,18567,18565,18482,18446,18494.8,18507
13,20161208,M, ,18572,18488,18492,18517,18447,18568,18545,18478,18452,18429,18503.2,18494.4
14,20161208,M, ,18945,18702,18604,18568,18928,18756,18604,18899,18601,18635,18749.4,18699
15,20161208,F, ,18491,18461,18435,18434,18535,18627,18515,18511,18445,18568,18471.2,18533.2
16,20161208,F,program breakdown,18495,18460,18514,18505, ,18619,18552,18664,18436, ,18493.5,18567.75
17,20161208,M, ,18546,18458,18476,18711,18475,18624,18458,18627,18493,18529,18533.2,18546.2
18,20161208,F, ,18569,18515,18405,18441,18451,18558,18514,18433,18446,18491,18476.2,18488.4
19,20161208,F, ,18504,18520,18466,18506,18584,18707,18553,18493,18487,18494,18516,18546.8
20,20161209,M, ,18653,18655,18717,18684,18687,18687,18693,18718,18705,18643,18679.2,18689.2
21,20161209,M, ,18435,18414,18376,18426,18421,18620,18409,18576,18435,18486,18414.4,18505.2
22,20161209,F, ,18703,18640,18634,18465,18457,18803,18496,18459,18456,18435,18579.8,18529.8
23,20161209,M, ,18454,18637,18460,18470,18479,18427,18638,18481,18506,18505,18500,18511.4
24,20161209,M, ,18662,18577,18565,18495,18504,18607,18686,18540,18600,18518,18560.6,18590.2
