date,participant,gender,p0a1,p0a0,comment
20161207,1,M,18835,18973,
20161207,1,M,18914,18889,
20161207,1,M,18756,18904,
20161207,1,M,18743,18766,
20161207,1,M,18755,18724,
20161207,2,F,18629,18539,
20161207,2,F,18502,18564,
20161207,2,F,18508,18519,
20161207,2,F,18625,18539,
20161207,2,F,18517,18564,
20161207,3,M,18597,18469,
20161207,3,M,18554,18684,
20161207,3,M,18735,18601,
20161207,3,M,18588,18976,
20161207,3,M,18564,18528,
20161207,4,M,18531,18818,
20161207,4,M,18625,18594,
20161207,4,M,18532,18609,
20161207,4,M,18497,18495,
20161207,4,M,18467,18491,
20161207,5,F,18768,18725,
20161207,5,F,18623,18650,
20161207,5,F,18576,18615,
20161207,5,F,18630,18612,
20161207,5,F,18526,18595,
20161207,6,M,18501,18471,
20161207,6,M,18470,18539,
20161207,6,M,18449,18549,
20161207,6,M,18446,18476,
20161207,6,M,18478,18453,
20161207,7,M,18782,18661,
20161207,7,M,18674,18818,
20161207,7,M,18604,18564,
20161207,7,M,18623,18677,
20161207,7,M,18575,18565,
20161207,8,M,18586,18664, 
20161207,8,M,18822,19154,
20161207,8,M,18549,18584,
20161207,8,M,19842,19410,
20161207,8,M,,18626, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161207,9,M,18545,18665,
20161207,9,M,18511,18835,
20161207,9,M,18498,18470,
20161207,9,M,18487,18475,
20161207,9,M,18498,18484,
20161207,10,M,18966,18753,
20161207,10,M,18779,18733,
20161207,10,M,18682,18688,
20161207,10,M,18684,18722,
20161207,10,M,18546,18674,
20161208,11,F,18571,18505,
20161208,11,F,18438,18459,
20161208,11,F,18476,18579,
20161208,11,F,18561,18603,
20161208,11,F,18554,18735,
20161208,12,F,18532,18475,
20161208,12,F,18469,18567,
20161208,12,F,18501,18565,
20161208,12,F,18480,18482,
20161208,12,F,18492,18446,
20161208,13,M,18572,18568,
20161208,13,M,18488,18545,
20161208,13,M,18492,18478,
20161208,13,M,18517,18452,
20161208,13,M,18447,18429,
20161208,14,M,18945,18756,
20161208,14,M,18702,18604,
20161208,14,M,18604,18899,
20161208,14,M,18568,18601,
20161208,14,M,18928,18635,
20161208,15,F,18491,18627,
20161208,15,F,18461,18515,
20161208,15,F,18435,18511,
20161208,15,F,18434,18445,
20161208,15,F,18535,18568,
20161208,16,F,18495,18619,
20161208,16,F,18460,18552,
20161208,16,F,18514,18664,
20161208,16,F,18505,18436,
20161208,16,F,,,program breakdown
20161208,17,M,18546,18624,
20161208,17,M,18458,18458,
20161208,17,M,18476,18627,
20161208,17,M,18711,18493,
20161208,17,M,18475,18529,
20161208,18,F,18569,18558,
20161208,18,F,18515,18514,
20161208,18,F,18405,18433,
20161208,18,F,18441,18446,
20161208,18,F,18451,18491,
20161208,19,F,18504,18707,
20161208,19,F,18520,18553,
20161208,19,F,18466,18493,
20161208,19,F,18506,18487,
20161208,19,F,18584,18494,
20161209,20,M,18653,18687,
20161209,20,M,18655,18693,
20161209,20,M,18717,18718,
20161209,20,M,18684,18705,
20161209,20,M,18687,18643,
20161209,21,M,18435,18620,
20161209,21,M,18414,18409,
20161209,21,M,18376,18576,
20161209,21,M,18426,18435,
20161209,21,M,18421,18486,
20161209,22,F,18703,18803,
20161209,22,F,18640,18496,
20161209,22,F,18634,18459,
20161209,22,F,18465,18456,
20161209,22,F,18457,18435,
20161209,23,M,18454,18427,
20161209,23,M,18637,18638,
20161209,23,M,18460,18481,
20161209,23,M,18470,18506,
20161209,23,M,18479,18505,
20161209,24,M,18662,18607,
20161209,24,M,18577,18686,
20161209,24,M,18565,18540,
20161209,24,M,18495,18600,
20161209,24,M,18504,18518,
20161209,25,F,18575,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161209,25,F,18470,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161209,25,F,18555,18588,
20161209,25,F,18609,18613,
20161209,25,F,18801,18715,
20161209,26,F,18467,18468,
20161209,26,F,18460,18496,
20161209,26,F,18413,18468,
20161209,26,F,18459,18468,
20161209,26,F,18479,18434,
20161209,27,F,18578,18715,
20161209,27,F,18470,18534,
20161209,27,F,18465,18559,
20161209,27,F,18422,18449,
20161209,27,F,18481,18520,
20161209,28,M,18706,18576,
20161209,28,M,18567,18604,
20161209,28,M,18516,18538,
20161209,28,M,18526,18526,
20161209,28,M,18570,18716,
20161213,29,M,18643,18655,
20161213,29,M,18623,18530,
20161213,29,M,18594,18601,
20161213,29,M,18509,18454,
20161213,29,M,18512,18525,
20161213,30,F,18651,18593,
20161213,30,F,18504,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161213,30,F,18516,18547,
20161213,30,F,18531,18700,
20161213,30,F,18613,18677,
20161213,31,M,18503,18432,
20161213,31,M,18444,18421,
20161213,31,M,18438,18540,
20161213,31,M,18450,18479,
20161213,31,M,18431,18428,
20161213,32,M,18590,18630,
20161213,32,M,18589,18613,
20161213,32,M,18565,18626,
20161213,32,M,18561,18561,
20161213,32,M,18629,18639,
20161213,33,M,18498,18503,
20161213,33,M,18575,18466,
20161213,33,M,18428,18414,
20161213,33,M,18451,18448,
20161213,33,M,18529,18509,
20161213,34,M,18555,18577,
20161213,34,M,18643,18622,
20161213,34,M,18554,18598,
20161213,34,M,18583,18609,
20161213,34,M,18734,18689,
20161213,35,M,18406,18453,
20161213,35,M,18462,18315,
20161213,35,M,18449,18436,
20161213,35,M,18422,18634,
20161213,35,M,18440,18466,
20161213,36,M,19308,19210,
20161213,36,M,18911,19723,
20161213,36,M,18444,18711,
20161213,36,M,19079,18692,
20161213,36,M,,19703,data missing (forgot to press the button)
20161213,37,F,18471,18435,
20161213,37,F,18485,18431,
20161213,37,F,18434,18430,
20161213,37,F,18431,18432,
20161213,37,F,18451,18344,
20161213,38,M,18464,18679,
20161213,38,M,18590,18540,
20161213,38,M,18450,18805,
20161213,38,M,18665,18718,
20161213,38,M,,18621, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161213,39,M,18640,18649,
20161213,39,M,18543,18619,
20161213,39,M,18477,18458,
20161213,39,M,18497,18655,
20161213,39,M,18452,18711,
20161213,40,F,18617,18623,
20161213,40,F,18528,18560,
20161213,40,F,18500,18584,
20161213,40,F,18504,18543,
20161213,40,F,18477,18533,
20161213,41,M,18462,18497,
20161213,41,M,18462,18487,
20161213,41,M,18472,18490,
20161213,41,M,18448,18455,
20161213,41,M,18440,18522,
20161213,42,M,18458,18685,
20161213,42,M,18431,18455,
20161213,42,M,18490,18646,
20161213,42,M,18448,18680,
20161213,42,M,18458,18578,
20161214,43,F,18529,18689,
20161214,43,F,18496,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161214,43,F,18459,18505,
20161214,43,F,18435,18475,
20161214,43,F,18438,18482,
20161214,44,M,18393,18470,
20161214,44,M,18443,18406,
20161214,44,M,18417,18438,
20161214,44,M,18428,18583,
20161214,44,M,18412,18469,
20161214,45,F,18432,18573,
20161214,45,F,18492,18540,
20161214,45,F,18419,18431,
20161214,45,F,18472,18455,
20161214,45,F,18443,18454,
20161214,46,F,18440,18592,
20161214,46,F,18568,18491,
20161214,46,F,18553,18600,
20161214,46,F,,,program breakdown
20161214,46,F,,,program breakdown
20161214,47,F,18431,18511,
20161214,47,F,18399,18324,
20161214,47,F,18444,18509,
20161214,47,F,18441,18406,
20161214,47,F,18392,18402,
20161214,48,M,18764,18677,
20161214,48,M,18487,18604,
20161214,48,M,18569,18519,
20161214,48,M,18494,18479,
20161214,48,M,18517,18471,
20161214,49,F,18585,18551,
20161214,49,F,18601,18601,
20161214,49,F,18534,18575,
20161214,49,F,18573,18794,
