game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
1,2,500,500,0.5,true,100,0,1,500,1000,500,9,595,0.888888888888889
1,2,500,500,0.5,true,101,1,1,500,750,600,5,733.333333333333,0.8
1,2,500,500,0.5,true,102,0,1,500,1100,300,12,680.769230769231,0.583333333333333
1,2,500,500,0.5,true,103,1,0,500,1350,1100,11,737.5,0.727272727272727
1,2,500,500,0.5,true,104,1,1,500,850,750,10,636.363636363636,0.9
1,2,500,500,0.5,true,105,1,1,500,600,600,10,613.636363636364,0.8
1,2,500,500,0.5,true,106,1,1,500,750,650,10,740.909090909091,0.6
1,2,500,500,0.5,true,107,0,0,500,1400,1000,6,764.285714285714,0.666666666666667
1,2,500,500,0.5,true,108,1,1,500,750,650,8,716.666666666667,0.75
1,2,500,500,0.5,true,110,1,1,500,800,600,10,618.181818181818,0.9
1,2,500,500,0.5,true,111,0,1,500,1200,500,8,683.333333333333,0.75
1,2,500,500,0.5,true,113,0,1,500,1400,600,9,750,0.666666666666667
1,2,500,500,0.5,true,114,1,1,500,500,450,7,737.5,0.571428571428571
1,2,500,500,0.5,true,115,1,0,500,600,700,4,630,0.75
1,2,500,500,0.5,true,116,1,0,500,1100,1100,10,686.363636363636,0.7
1,2,500,500,0.5,true,117,1,1,500,750,600,9,775,0.555555555555556
1,2,500,500,0.5,true,118,1,0,500,1500,1300,10,745.454545454545,0.7
1,2,500,500,0.5,true,119,0,0,500,1400,1000,7,681.25,0.714285714285714
1,2,500,500,0.5,true,120,1,0,500,1000,900,6,835.714285714286,0.5
1,2,500,500,0.5,true,121,1,1,500,650,500,17,700,0.705882352941177
1,2,500,500,0.5,true,122,0,0,500,1400,1000,7,806.25,0.571428571428571
1,2,500,500,0.5,true,125,1,1,500,800,650,9,640,0.888888888888889
1,2,500,500,0.5,true,126,0,1,500,1350,550,12,700,0.666666666666667
2,2,500,500,0.5,false,200,1,1,500,800,600,10,663.636363636364,0.8
2,2,500,500,0.5,false,201,1,1,500,850,550,8,627.777777777778,0.875
2,2,500,500,0.5,false,202,1,1,500,950,650,12,734.615384615385,0.666666666666667
2,2,500,500,0.5,false,203,0,1,500,1400,500,11,745.833333333333,0.636363636363636
2,2,500,500,0.5,false,204,0,0,500,2100,1300,10,650,0.9
2,2,500,500,0.5,false,205,1,1,500,850,550,10,731.818181818182,0.7
2,2,500,500,0.5,false,207,1,0,500,1250,1100,7,712.5,0.714285714285714
2,2,500,500,0.5,false,208,1,1,500,550,550,8,688.888888888889,0.75
2,2,500,500,0.5,false,209,1,1,500,600,550,7,731.25,0.714285714285714
2,2,500,500,0.5,false,213,1,1,500,800,600,8,677.777777777778,0.875
2,2,500,500,0.5,false,214,1,1,500,750,500,11,704.166666666667,0.818181818181818
2,2,500,500,0.5,false,215,1,1,500,800,500,8,700,0.75
2,2,500,500,0.5,false,216,1,0,500,950,900,5,708.333333333333,0.8
2,2,500,500,0.5,false,217,1,1,500,950,650,10,659.090909090909,0.9
2,2,500,500,0.5,false,218,1,1,500,1100,750,9,650,0.888888888888889
2,2,500,500,0.5,false,219,1,1,500,1050,700,9,580,1
2,2,500,500,0.5,false,220,0,0,500,1500,1000,6,607.142857142857,1
3,2,700,300,0.5,true,300,1,0,300,700,600,6,792.857142857143,0.333333333333333
3,2,700,300,0.5,true,301,0,0,700,1800,1200,8,638.888888888889,0.875
3,2,700,300,0.5,true,302,1,1,300,400,400,10,745.454545454545,0.6
3,2,700,300,0.5,true,303,0,0,700,1600,1100,8,744.444444444444,0.625
3,2,700,300,0.5,true,304,1,1,300,500,350,11,675,0.636363636363636
3,2,700,300,0.5,true,305,0,0,700,1700,1100,9,815,0.444444444444444
3,2,700,300,0.5,true,306,1,0,300,600,500,6,764.285714285714,0.333333333333333
3,2,700,300,0.5,true,307,0,0,300,700,600,3,550,0.666666666666667
3,2,700,300,0.5,true,308,1,1,700,1100,750,9,570,0.888888888888889
3,2,700,300,0.5,true,309,0,1,700,1150,650,8,844.444444444444,0.5
3,2,700,300,0.5,true,310,0,0,700,2100,1600,11,716.666666666667,0.636363636363636
3,2,700,300,0.5,true,311,0,0,300,400,300,2,533.333333333333,0
3,2,700,300,0.5,true,313,1,1,300,400,350,7,568.75,0.857142857142857
3,2,700,300,0.5,true,314,1,1,700,500,650,11,712.5,0.636363636363636
3,2,700,300,0.5,true,315,1,1,300,550,400,9,540,0.777777777777778
3,2,700,300,0.5,true,316,1,0,700,1350,1400,7,643.75,0.857142857142857
3,2,700,300,0.5,true,317,1,0,300,750,700,7,625,0.571428571428571
3,2,700,300,0.5,true,318,1,1,300,550,450,8,516.666666666667,0.875
3,2,700,300,0.5,true,319,0,1,300,1200,300,12,703.846153846154,0.666666666666667
3,2,700,300,0.5,true,320,1,1,300,450,400,9,630,0.777777777777778
3,2,700,300,0.5,true,321,1,1,700,1000,750,7,612.5,0.857142857142857
3,2,700,300,0.5,true,322,1,1,300,500,300,8,561.111111111111,0.75
3,2,700,300,0.5,true,323,0,1,700,1250,750,6,778.571428571429,0.666666666666667
3,2,700,300,0.5,true,324,1,1,700,650,650,10,777.272727272727,0.5
3,2,700,300,0.5,true,325,0,1,300,1000,400,8,633.333333333333,0.75
4,2,700,300,0.5,false,401,1,0,700,700,900,4,960,0.5
4,2,700,300,0.5,false,403,1,1,700,1100,900,10,754.545454545455,0.9
4,2,700,300,0.5,false,404,1,1,700,750,850,8,844.444444444444,0.625
4,2,700,300,0.5,false,405,1,1,300,600,500,10,736.363636363636,0.8
4,2,700,300,0.5,false,406,0,0,700,2000,1400,7,787.5,1
4,2,700,300,0.5,false,407,1,1,700,1050,850,8,672.222222222222,0.875
4,2,700,300,0.5,false,408,1,1,700,950,900,11,754.166666666667,0.727272727272727
4,2,700,300,0.5,false,410,1,1,300,400,400,4,670,0.75
4,2,700,300,0.5,false,411,0,0,700,1900,1200,9,790,0.666666666666667
4,2,700,300,0.5,false,413,0,0,700,1700,1300,7,818.75,0.857142857142857
4,2,700,300,0.5,false,414,1,1,300,800,550,9,675,0.888888888888889
4,2,700,300,0.5,false,415,1,1,300,350,300,5,833.333333333333,0.8
4,2,700,300,0.5,false,416,1,1,700,950,850,8,794.444444444444,0.75
4,2,700,300,0.5,false,418,0,1,300,1150,450,9,755,0.888888888888889
4,2,700,300,0.5,false,421,1,1,300,500,450,11,741.666666666667,0.818181818181818
4,2,700,300,0.5,false,422,1,1,300,350,300,7,756.25,0.714285714285714
4,2,700,300,0.5,false,423,1,1,300,550,350,10,677.272727272727,0.9
4,2,700,300,0.5,false,424,0,1,700,1800,800,12,700,0.833333333333333
4,2,700,300,0.5,false,425,0,1,700,1100,700,7,668.75,0.714285714285714
5,2,500,500,0.5,true,500,0,0,500,800,700,4,590,0.75
5,2,500,500,0.5,true,501,0,0,500,900,800,8,633.333333333333,0.5
5,2,500,500,0.5,true,502,0,0,500,1300,1000,8,616.666666666667,0.625
5,2,500,500,0.5,true,503,0,0,500,1100,900,5,633.333333333333,0.8
5,2,500,500,0.5,true,504,1,1,500,350,550,6,571.428571428571,0.666666666666667
5,2,500,500,0.5,true,506,0,0,500,1000,700,5,691.666666666667,0.6
5,2,500,500,0.5,true,507,0,0,500,1100,900,9,655,0.666666666666667
5,2,500,500,0.5,true,508,1,1,500,350,550,8,583.333333333333,0.625
5,2,500,500,0.5,true,509,0,1,500,750,450,7,625,0.714285714285714
5,2,500,500,0.5,true,510,1,1,500,350,550,4,650,0.5
5,2,500,500,0.5,true,511,0,1,500,900,600,9,635,0.555555555555556
5,2,500,500,0.5,true,512,1,1,500,400,500,6,642.857142857143,0.666666666666667
5,2,500,500,0.5,true,513,0,1,500,800,500,7,581.25,0.714285714285714
5,2,500,500,0.5,true,515,1,1,500,250,450,6,707.142857142857,0.333333333333333
5,2,500,500,0.5,true,516,0,0,500,700,600,3,737.5,0.333333333333333
5,2,500,500,0.5,true,517,0,1,500,600,400,9,690,0.444444444444444
6,2,500,500,0.5,false,600,1,1,500,750,600,5,675,0.8
6,2,500,500,0.5,false,602,1,1,500,900,600,8,661.111111111111,0.875
6,2,500,500,0.5,false,603,1,1,500,950,650,8,672.222222222222,0.75
6,2,500,500,0.5,false,604,1,1,500,700,600,4,680,0.75
6,2,500,500,0.5,false,605,0,0,500,1500,900,8,683.333333333333,0.625
6,2,500,500,0.5,false,607,1,1,500,850,650,8,688.888888888889,0.75
6,2,500,500,0.5,false,608,0,0,500,1100,800,5,700,0.6
6,2,500,500,0.5,false,609,1,1,500,900,600,8,672.222222222222,0.75
6,2,500,500,0.5,false,611,1,1,500,750,600,3,650,1
6,2,500,500,0.5,false,612,1,1,500,700,600,6,650,0.666666666666667
6,2,500,500,0.5,false,613,1,1,500,950,700,5,633.333333333333,1
6,2,500,500,0.5,false,614,1,1,500,900,650,5,625,1
6,2,500,500,0.5,false,615,1,1,500,850,650,4,630,1
