game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop,local_cluster
1,0,1150,200,0.3,true,104,NA,NA,1150,1150,NA,NA,358.3333333333,NA,0.2666666667
1,0,1150,200,0.3,true,102,NA,NA,200,200,NA,NA,770,NA,0.4
1,0,1150,200,0.3,true,106,NA,NA,200,200,NA,NA,833.3333333333,NA,0.3333333333
1,0,1150,200,0.3,true,101,NA,NA,1150,1150,NA,NA,390,NA,0.1
1,0,1150,200,0.3,true,112,NA,NA,200,200,NA,NA,912.5,NA,0.3333333333
1,0,1150,200,0.3,true,115,NA,NA,200,200,NA,NA,580,NA,0.3
1,0,1150,200,0.3,true,105,NA,NA,200,200,NA,NA,833.3333333333,NA,0.3333333333
1,0,1150,200,0.3,true,110,NA,NA,200,200,NA,NA,770,NA,0.4
1,0,1150,200,0.3,true,103,NA,NA,1150,1150,NA,NA,770,NA,0.2
1,0,1150,200,0.3,true,108,NA,NA,200,200,NA,NA,675,NA,1
1,0,1150,200,0.3,true,111,NA,NA,200,200,NA,NA,675,NA,0.6666666667
1,0,1150,200,0.3,true,113,NA,NA,200,200,NA,NA,471.4285714286,NA,0.3333333333
1,0,1150,200,0.3,true,114,NA,NA,200,200,NA,NA,516.6666666667,NA,0.3333333333
1,0,1150,200,0.3,true,109,NA,NA,1150,1150,NA,NA,200,NA,0.3333333333
1,0,1150,200,0.3,true,107,NA,NA,1150,1150,NA,NA,358.3333333333,NA,0.2666666667
1,1,1150,200,0.3,true,101,1,NA,1150,1400,1150,6,700,1,0.4
1,1,1150,200,0.3,true,102,1,NA,200,450,200,5,800,1,0.5238095238
1,1,1150,200,0.3,true,103,1,NA,1150,1300,200,3,942.8571428571,0.8571428571,0.4285714286
1,1,1150,200,0.3,true,104,1,NA,1150,1350,1150,5,738.8888888889,0.8888888889,0.4444444444
1,1,1150,200,0.3,true,105,1,NA,200,350,200,4,820,1,0.7
1,1,1150,200,0.3,true,106,0,NA,200,500,200,5,800,1,0.6666666667
1,1,1150,200,0.3,true,107,1,NA,1150,1350,200,3,738.8888888889,0.8888888889,0.4166666667
1,1,1150,200,0.3,true,108,1,NA,200,300,200,5,891.6666666667,0.8333333333,0.4666666667
1,1,1150,200,0.3,true,109,1,NA,1150,1250,1150,5,668.75,0.75,0.4285714286
1,1,1150,200,0.3,true,110,1,NA,200,450,200,2,762.5,1,0.4642857143
1,1,1150,200,0.3,true,111,1,NA,200,400,200,4,750,1,0.5333333333
1,1,1150,200,0.3,true,112,0,NA,200,600,200,7,1100,1,0.6666666667
1,1,1150,200,0.3,true,113,1,NA,200,450,200,6,656.25,0.875,0.3571428571
1,1,1150,200,0.3,true,114,1,NA,200,500,1150,6,700,1,0.5333333333
1,1,1150,200,0.3,true,115,1,NA,200,350,1150,6,828.5714285714,0.8571428571,0.380952381
1,2,1150,200,0.3,true,101,1,1,1150,1700,1400,6,968.75,1,0.6428571429
1,2,1150,200,0.3,true,102,1,1,200,800,450,7,1206.25,1,0.7142857143
1,2,1150,200,0.3,true,103,1,1,1150,1650,1300,7,1127.7777777778,1,0.4722222222
1,2,1150,200,0.3,true,104,1,1,1150,1700,1350,9,1072.2222222222,0.8888888889,0.5833333333
1,2,1150,200,0.3,true,105,1,1,200,600,350,5,1292.8571428571,1,0.7142857143
1,2,1150,200,0.3,true,106,1,0,200,700,500,4,1050,1,0.6666666667
1,2,1150,200,0.3,true,107,1,1,1150,1700,1350,9,1009.0909090909,0.9090909091,0.5636363636
1,2,1150,200,0.3,true,108,1,1,200,600,300,6,1300,1,0.5
1,2,1150,200,0.3,true,109,1,1,1150,1550,1250,8,944.4444444444,0.8888888889,0.5277777778
1,2,1150,200,0.3,true,110,1,1,200,850,450,8,1075,1,0.5
1,2,1150,200,0.3,true,111,1,1,200,700,400,6,1212.5,1,0.6785714286
1,2,1150,200,0.3,true,112,0,0,200,1000,600,4,1425,1,0.8333333333
1,2,1150,200,0.3,true,113,1,1,200,750,450,8,1077.2727272727,0.9090909091,0.5090909091
1,2,1150,200,0.3,true,114,1,1,200,800,500,6,992.8571428571,1,0.619047619
1,2,1150,200,0.3,true,115,1,1,200,700,350,7,1150,1,0.6111111111
1,3,1150,200,0.3,true,101,1,1,1150,2100,1700,8,1350,1,0.75
1,3,1150,200,0.3,true,102,1,1,200,1200,800,8,1538.8888888889,1,0.7777777778
1,3,1150,200,0.3,true,103,1,1,1150,2000,1650,9,1427.2727272727,0.9090909091,0.5818181818
1,3,1150,200,0.3,true,104,1,1,1150,2050,1700,9,1416.6666666667,1,0.6944444444
1,3,1150,200,0.3,true,105,1,1,200,950,600,7,1692.8571428571,1,0.7619047619
1,3,1150,200,0.3,true,106,0,1,200,1000,700,3,1366.6666666667,1,1
1,3,1150,200,0.3,true,107,1,1,1150,2150,1700,11,1377.2727272727,0.9090909091,0.6
1,3,1150,200,0.3,true,108,1,1,200,850,600,5,1583.3333333333,1,0.7333333333
1,3,1150,200,0.3,true,109,1,1,1150,1900,1550,9,1293.75,1,0.6785714286
1,3,1150,200,0.3,true,110,1,1,200,1250,850,8,1465,1,0.7111111111
1,3,1150,200,0.3,true,111,1,1,200,1100,700,8,1475,1,0.7111111111
1,3,1150,200,0.3,true,112,0,0,200,1400,1000,4,2150,1,NA
1,3,1150,200,0.3,true,113,1,1,200,1200,750,11,1422.7272727273,1,0.6545454545
1,3,1150,200,0.3,true,114,1,1,200,1050,800,7,1522.2222222222,0.8888888889,0.6666666667
1,3,1150,200,0.3,true,115,1,1,200,1050,700,9,1522.2222222222,0.8888888889,0.6666666667
1,4,1150,200,0.3,true,101,1,1,1150,2500,2100,8,1777.7777777778,1,0.8888888889
1,4,1150,200,0.3,true,102,1,1,200,1650,1200,9,1781.8181818182,1,0.7636363636
1,4,1150,200,0.3,true,103,1,1,1150,2250,2000,11,1822.7272727273,0.7272727273,0.6181818182
1,4,1150,200,0.3,true,104,1,1,1150,2400,2050,9,1704.5454545455,0.9090909091,0.7636363636
1,4,1150,200,0.3,true,105,1,1,200,1200,950,7,2031.25,0.875,0.8214285714
1,4,1150,200,0.3,true,106,0,0,200,1300,1000,3,1775,1,1
1,4,1150,200,0.3,true,107,1,1,1150,2600,2150,11,1770.8333333333,0.9166666667,0.7272727273
1,4,1150,200,0.3,true,109,0,1,1150,2600,850,6,1657.1428571429,1,0.8095238095
1,4,1150,200,0.3,true,108,0,1,200,1350,1900,8,1925,1,1
1,4,1150,200,0.3,true,110,1,1,200,1650,1250,10,1820,0.9,0.7555555556
1,4,1150,200,0.3,true,111,1,1,200,1400,1100,10,1883.3333333333,0.8333333333,0.6666666667
1,4,1150,200,0.3,true,112,1,0,200,1450,1400,1,1800,1,1
1,4,1150,200,0.3,true,113,1,1,200,1550,1200,11,1822.7272727273,0.9090909091,0.7272727273
1,4,1150,200,0.3,true,114,1,1,200,1300,1050,9,1933.3333333333,0.8888888889,0.8611111111
1,4,1150,200,0.3,true,115,1,1,200,1300,1050,9,1886.3636363636,0.8181818182,0.6909090909
1,5,1150,200,0.3,true,101,1,1,1150,2850,2500,9,2236.3636363636,0.9090909091,0.8363636364
1,5,1150,200,0.3,true,102,1,1,200,2100,1650,11,2195.4545454546,0.9090909091,0.7636363636
1,5,1150,200,0.3,true,103,1,1,1150,2500,2250,11,2285,0.8,0.6888888889
1,5,1150,200,0.3,true,104,1,1,1150,2750,2400,11,2130,0.9,0.7555555556
1,5,1150,200,0.3,true,105,1,1,200,1500,1200,8,2500,0.875,0.8214285714
1,5,1150,200,0.3,true,106,0,0,200,1400,1300,2,2500,1,NA
1,5,1150,200,0.3,true,107,1,1,1150,3100,2600,12,2134.6153846154,0.8461538462,0.6666666667
1,5,1150,200,0.3,true,108,0,0,200,1750,2600,7,2633.3333333333,1,1
1,5,1150,200,0.3,true,109,1,0,1150,2850,1350,4,2150,0.8888888889,0.75
1,5,1150,200,0.3,true,110,1,1,200,2050,1650,10,2200,0.9,0.7555555556
1,5,1150,200,0.3,true,111,1,1,200,1800,1400,12,2345.4545454546,0.9090909091,0.7818181818
1,5,1150,200,0.3,true,112,1,1,200,1650,1450,4,2370,1,0.9
1,5,1150,200,0.3,true,113,1,1,200,2000,1550,11,2236.3636363636,0.9090909091,0.7636363636
1,5,1150,200,0.3,true,114,1,1,200,1650,1300,9,2430,0.9,0.8666666667
1,5,1150,200,0.3,true,115,0,1,200,2300,1300,11,2261.1111111111,1,0.8611111111
1,6,1150,200,0.3,true,101,1,1,1150,3300,2850,11,2675,1,0.8666666667
1,6,1150,200,0.3,true,102,1,1,200,2550,2100,11,2670.8333333333,0.9166666667,0.7575757576
1,6,1150,200,0.3,true,103,1,1,1150,2800,2500,10,2630,0.9,0.6444444444
1,6,1150,200,0.3,true,104,1,1,1150,3050,2750,10,2705.5555555556,1,0.8888888889
1,6,1150,200,0.3,true,105,1,1,200,1900,1500,8,2777.7777777778,1,0.8055555556
1,6,1150,200,0.3,true,106,0,0,200,1500,1400,1,2800,1,NA
1,6,1150,200,0.3,true,107,1,1,1150,3550,3100,13,2546.1538461539,0.8461538462,0.6538461538
1,6,1150,200,0.3,true,108,0,0,200,2050,1750,3,2950,1,1
