round,treatment,condition,lab.id,subject.id,pair.num,key.2,key.1.1,key.1.2,key.1.3,key.1.4,levenshtein,nonresponse
1,Test-restudy,7,1,1,1,i can't remember,i could not come up with a word,i could not come up with a word,i could no come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,2,eye,eye,eye,eye,eye,0,0
1,Test-restudy,7,1,1,3,chocolate,chocolate,chocolate,chocolate,chocolate,0,0
1,Test-restudy,7,1,1,4,lasso,lasso,lasso,lasso,lasso,0,0
1,Test-restudy,7,1,1,5,rumba,trim,trim,trim,trim,4,0
1,Test-restudy,7,1,1,6,fun,fun,fun,fun,fun,0,0
1,Test-restudy,7,1,1,7,hand,hand,hand,hand,hand,0,0
1,Test-restudy,7,1,1,8,i can't remeber,tense,tense,tense,tense,12,1
1,Test-restudy,7,1,1,9,boo boo,boo boo,boo boo,boo boo,boo boo,0,0
1,Test-restudy,7,1,1,10,i can't remember,muerte,muerte,muerte,muerte,14,1
1,Test-restudy,7,1,1,11,aceituna,aceituna,aceituna,aceituna,aceituna,0,0
1,Test-restudy,7,1,1,12,i can't remember,bush,bush,bush,bush,16,1
1,Test-restudy,7,1,1,13,soft,pamper,pamper,pamper,soft,0,0
1,Test-restudy,7,1,1,14,wing,wing,wing,wing,wing,0,0
1,Test-restudy,7,1,1,15,bug,bug,bug,bug,bug,0,0
1,Test-restudy,7,1,1,16,far,far,far,far,far,0,0
1,Test-restudy,7,1,1,17,i can't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,18,i can't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,19,paz,paz,paz,paz,paz,0,0
1,Test-restudy,7,1,1,20,bury,bury,bury,bury,bury,0,0
1,Test-restudy,7,1,1,21,allah,allah,allah,allah,allah,0,0
1,Test-restudy,7,1,1,22,element,element,element,element,element,0,0
1,Test-restudy,7,1,1,23,distressed,distressed,distressed,distressed,distressed,0,0
1,Test-restudy,7,1,1,24,i can't remember,want,i could not come up with a word,i could not come up with a word,i could not come up with a word,13,1
1,Test-restudy,7,1,1,25,i can't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,26,gordo,gordo,gordo,gordo,gordo,0,0
1,Test-restudy,7,1,1,27,linguini,tumble,tumble,tumble,tumble,8,0
1,Test-restudy,7,1,1,28,i can't remember,agua,agua,agua,agua,15,1
1,Test-restudy,7,1,1,29,mama,mama,mama,mama,mama,0,0
1,Test-restudy,7,1,1,30,fina,fina,fina,fina,fina,0,0
1,Test-restudy,7,1,1,31,sue,sue,sue,sue,sue,0,0
1,Test-restudy,7,1,1,32,what's up,what's up,what's up,what's up,what's up,0,0
