"Study"	"Condition"	"Contribution"	"Female"	"Age"	"control40"	"control0"	"experience"	"collection_stage"	"n_sentences"
8	"Reflection Good"	20	0	29	"40"	"0"	1	1	10
8	"Intuition Bad"	0	0	26	"40"	"0"	2	1	9
8	"Intuition Bad"	0	0	29	"40"	"0"	4	1	8
8	"Reflection Good"	0	0	49	"40"	"0"	3	1	10
8	"Reflection Good"	0	0	28	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	26	"40"	"0"	2	1	9
8	"Intuition Good"	40	0	24	"40"	"40"	3	1	8
8	"Reflection Good"	0	0	29	"40"	"0"	3	1	15
8	"Reflection Good"	0	0	32	"40"	"0"	1	1	9
8	"Intuition Good"	0	0	43	"40"	"0"	4	1	9
8	"Reflection Good"	20	0	33	"40"	"0"	3	1	8
8	"Intuition Good"	40	0	25	"40"	"0"	1	1	11
8	"Reflection Good"	40	0	59	"40"	"0"	3	1	9
8	"Reflection Bad"	40	0	37	"40"	"0"	1	1	8
8	"Reflection Bad"	0	0	28	"40"	"0"	3	1	8
8	"Reflection Good"	40	0	28	"40"	"0"	5	1	9
8	"Reflection Good"	0	0	30	"40"	"0"	4	1	8
8	"Reflection Bad"	12	0	26	"40"	"0"	2	1	8
8	"Intuition Good"	20	0	58	"40"	"0"	3	1	8
8	"Intuition Bad"	0	0	23	"40"	"0"	4	1	8
8	"Intuition Good"	10	0	25	"40"	"0"	3	1	8
8	"Reflection Good"	0	0	32	"40"	"0"	3	1	10
8	"Intuition Good"	0	0	35	"40"	"40"	1	1	25
8	"Reflection Good"	40	0	53	"40"	"0"	3	1	10
8	"Reflection Good"	0	0	44	"40"	"0"	4	1	8
8	"Intuition Bad"	20	0	24	"40"	"0"	3	1	9
8	"Reflection Good"	0	0	34	"40"	"0"	2	1	8
8	"Reflection Good"	40	0	59	"40"	"0"	3	1	16
8	"Reflection Bad"	40	0	53	"40"	"0"	3	1	8
8	"Intuition Good"	0	0	32	"40"	"0"	3	1	10
8	"Intuition Good"	10	0	29	"40"	"0"	3	1	11
8	"Intuition Bad"	40	0	41	"40"	"0"	4	1	8
8	"Reflection Good"	0	0	58	"40"	"0"	1	1	8
8	"Intuition Bad"	30	0	51	"40"	"0"	4	1	10
8	"Intuition Bad"	0	0	29	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	35	"40"	"0"	3	1	8
8	"Reflection Bad"	20	0	28	"40"	"0"	4	1	14
8	"Reflection Bad"	10	0	36	"40"	"0"	3	1	9
8	"Reflection Bad"	30	0	39	"40"	"0"	2	1	12
8	"Reflection Good"	0	0	29	"40"	"0"	3	1	8
8	"Intuition Good"	0	0	35	"40"	"0"	2	1	8
8	"Intuition Good"	40	0	29	"40"	"0"	4	1	12
8	"Intuition Bad"	40	0	23	"40"	"0"	2	1	8
8	"Intuition Good"	10	0	31	"40"	"0"	3	1	9
