ID,ascending10otherwise,age,gender,Date,Condition,DS,AC,ACIR,ACSR,IR.1,IR.2,IR.3,IR.4,IR.5,IR.6,IR.7,IR.8,IR.9,IR.10,SR.1,SR.2,SR.3,SR.4,SR.5,SR.6,SR.7,SR.8,SR.9,SR.10,BeforeDV,AfterDV,DataCollection,ConditionFactor,Exc,difference,filter_$
LS1,0,18,2 Male,11/22/2016,Using,1,A head full of dreams,5,5,1989,Legend,In the lonely hour,Communion,A head full of dreams,If I can dream,Lemonade,I like it when you sleep for you are so,25,Blurryface,1989,Legend,In the lonely hour,If i can dream,A head full of dreams,Communion,Lemonade,I like it when you sleep for you are so,25,Blurryface,-1,1,1,1,0,2,1
LS10,1,18,2 Male,11/28/2016,Using,1,If I can dream,5,5,A moon shaped pool,Blackstar,Nothing has changed,Best of bowie,If I can dream,Chaos and the calm,The very best of Prince,Charleur humaine,I cry when I laugh,Legend,A moon shaped pool,Blackstar,Nothing has changed,Best of bowie,If I can dream,The very best of,Chaos and the calm,Charleur humaine,I cry when I laugh,Legend,-1,-2,1,1,0,-1,1
LS100,0,20,1 Female,2/6/2017,Examining,1,Made in the AM,5,3,purpose,nine track mind,chaos and the calm,this is acting,made in the am,a head full of dreams,best of bowie,if i can dream,delirium,in the lonely hour,purpose,nine track mind,made in the am,this is acting,chaos and the calm,a head full of dreams,best of bowie,if i can dream,delirium,In the lonely hour,-1,-3,1,0,0,-2,1
LS101,0,18,1 Female,2/6/2017,Using,1,If i can dream,5,5,legend,delirium,chaos and the calm,this is acting,if i can dream,nine track mind,1989,i like it when you sleep for you are so,the very best of prince,best of bowie,delirium,chaos and the calm,legend,this is acting,if i can dream,1989,nine track mind,the very best of prince,best of bowie,i like it when you sleep for you are so,-1,-2,1,1,0,-1,1
LS102,1,18,1 Female,2/6/2017,Using,1,Lemonade,5,7,i like it when you sleep for you are so,in the lonely hour,beauty behind the madness,chaos and the calm,lemonade,views,25,anti,a head full of dreams,this is acting,in the lonely hour,chaos and the calm,i like it when you sleep for you are so,beauty behind the madness,this is acting,anti,lemonade,a head full of dreams,25,views,-1,-3,1,1,0,-2,1
LS103,1,18,1 Female,2/6/2017,Using,1,Chaos and the calm,5,4,a head full of dreams,purpose,i like it when you sleep for you are so,if i can dream,chaos and the calm,blurry face,legend,nine track mind,in the lonely hour,beauty behind the madness,a head full of dreams,nine track mind,purpose,chaos and the calm,i like it when you sleep for you are so,legend,if i can dream,in the lonely hour,beauty behind the madness,blurry face,-1,-6,1,1,0,-5,1
LS104,1,18,1 Female,2/7/2017,Using,1,X,5,4,this is acting,25,the very best of prince,1989,x,in the lonely hour,nine track mind,made in the am,blurry face,if i can dream,this is acting,25,the very best of prince,x,in the lonely hour,blurry face,1989,nine track mind,made in the am,if i can dream,-1,-1,1,1,0,0,1
LS105,1,18,1 Female,2/7/2017,Using,1,In the lonely hour,6,2,views,25,purpose,anti,I like if when you sleep for you are so,in the lonely hour,beauty behind the madness,lemonade,a moon shaped pool,this is acting,anti,in the lonely hour,lemonade,purpose,25,i like it when you sleep for you are so,beauty behind the madness,views,a moon shaped pool,this is acting,1,-4,1,1,0,-5,1
LS106,1,19,1 Female,2/7/2017,Using,1,A head full of dreams,5,4,views,lemonade,25,a moon shaped pool,a head full of dreams,chaos and the calm,the very best of,legend,in the lonely hour,nine track mind,lemonade,views,25,a head full of dreams,a moon shaped pool,chaos and the calm,in the lonely hour,the very best of prince,legend,nine track mind,-1,-2,1,1,0,-1,1
LS107,1,19,2 Male,2/7/2017,Using,1,Best of bowie,6,6,a head full of dreams,legend,if i can dream,the very best of prince,nothing has changed,best of bowie,a moon shaped pool,nine track mind,in the lonely hour,50,a head full of dreams,legend,if i can dream,the very best of prince,nothing has changed,best of bowie,a moon shaped pool,nine track mind,in the lonely hour,50,1,1,1,1,0,0,1
LS108,1,20,1 Female,2/7/2017,Using,1,Beauty behind the madness,6,5,get weird,made in the am,if i can dream,this is acting,delirium,beauty behind the madness,i cry when i laugh,communion,50,charleur humaine,get weird,made in the am,if i can dream,this is acting,beauty behind the madness,delirium,i cry when i laugh,communion,50,charleur humaine,1,-1,1,1,0,-2,1
LS109,0,28,2 Male,2/7/2017,Using,1,All over the world,5,3,the very best of prince,blackstar,a moon shaped pool,blurry face,all over the world,if i can dream,this is acting,25,lemonade,anti,the very best of prince,blackstar,all over the world,if i can dream,a moon shaped pool,this is acting,blurry face,lemonade,25,anti,-1,-1,1,1,0,0,1
LS11,0,19,1 Female,11/28/2016,Examining,1,Beauty behind the madness,5,4,Chaos and the calm,A head full of dreams,Anti,The very best of,Beauty behind the madness,Purpose,This is acting,In the lonely hour,Blurry face,Communion,A head full of dreams,Chaos and the calm,This is acting,Beauty behind the madness,Anti,The very best of,Blurry face,Purpose,In the lonely hour,Communion,-1,-4,1,0,0,-3,1
LS110,1, , ,2/8/2017,Using,1,Made in the am,5,3,x,blurry face,a head full of dreams,25,made in the am,1989,if i can dream,in the lonely hour,legend,lemonade,x,blurry face,made in the am,a head full of dreams,25,legend,1989,if i can dream,in the lonely hour,lemonade,-1,-4,1,1,0,-3,1
LS111,1,18,1 Female,2/8/2017,Examining,1,A moon shaped pool,5,5,legend,if i can dream,25,views,a moon shaped pool,blurry face,lemonade,all over the world,nine track mind,1989,legend,if i can dream,views,25,a moon shaped pool,lemonade,blurry face,nine track mind,all over the world,1989,-1,-2,1,0,0,-1,1
LS112,0,19,1 Female,2/8/2017,Examining,1,Views,5,4,lemonade,charleur humaine,chaos and the calm,delirium,views,this is acting,i cry when i laugh,anti,beauty behind the madness,in the lonely hour,lemonade,charleur humaine,chaos and the calm,views,delirium,this is acting,beauty behind the madness,anti,in the lonely hour,i cry when i laugh,-1,-2,1,0,0,-1,1
LS113,1,18,1 Female,2/8/2017,Examining,1,1989,5,4,views,lemonade,anti,beauty behind the madness,1989,25,x,blurry face,purpose,delirium,views,lemonade,anti,1989,beauty behind the madness,25,blurry face,x,purpose,delirium,-1,-2,1,0,0,-1,1
LS114,0,18,2 Male,2/9/2017,Examining,1,Communion,5,3,a head full of dreams,i like it when you sleep for you are so,beauty behind the madness,blurry face,communion,views,a moon shaped pool,this is acting,best of bowie,1989,i like it when you sleep for you are so,a head full of dreams,communion,blurry face,beauty behind the madness,views,a moon shaped pool,this is acting,best of bowie,1989,-1,-3,1,0,0,-2,1
LS115,1,19,1 Female,2/9/2017,Examining,1,Beauty behind the madness,6,3,in the lonely hour,views,blurry face,a head full of dreams,delirium,beauty behind the madness,chaos and the calm,nine track mind,25,lemonade,in the lonely hour,views,beauty behind the madness,a head full of dreams,delirium,blurry face,chaos and the calm,nine track mind,25,lemonade,1,-2,1,0,0,-3,1
LS116,1,19,1 Female,2/9/2017,Examining,1,Beauty behind the madness,6,5,communion,x,chaos and the calm,lemonade,i cry when i laugh,beauty behind the madness,blurry face,anti,25,in the lonely hour,communion,x,chaos and the calm,lemonade,beauty behind the madness,i cry when i laugh,anti,blurry face,25,in the lonely hour,1,-1,1,0,0,-2,1
LS117,1,20,1 Female,2/9/2017,Examining,1,Delirium,5,5,chaos and the calm,lemonade,this is acting,i like it when you sleep for you are so,delirium,x,best of bowie,a head full of dreams,the very best of prince,anti,chaos and the calm,lemonade,this is acting,i like it when you sleep for you are so,delirium,x,best of bowie,a head full of dreams,the very best of prince,anti,-1,-1,1,0,0,0,1
LS118,1,18,2 Male,2/9/2017,Examining,1,Purpose,5,5,25,in the lonely hour,a head full of dreams,lemonade,purpose,made in the am,a moon shaped pool,communion,views,this is acting,a head full of dreams,25,in the lonely hour,lemonade,purpose,made in the am,a moon shaped pool,communion,views,this is acting,-1,-1,1,0,0,0,1
LS119,0,19,1 Female,2/9/2017,Examining,1,Purpose,6,4,25,blurry face,a head full of dreams,1989,made in the am,purpose,legend,this is acting,delirium,nine track mind,blurry face,a head full of dreams,25,purpose,1989,legend,made in the am,this is acting,delirium,nine track mind,1,-3,1,0,0,-4,1
LS12,1,20,1 Female,11/28/2016,Examining,1,Nothing has changed,5,4,Lemonade,The very best of Prince,Chaleur humaine,Blurry face,Nothing has changed,I cry when I laugh,Delirium,Beauty behind the madness,All over the world,Views,Chaleur humaine,Lemonade,The very best of,Nothing has changed,I cry when I laugh,Delirium,Blurry face,Beauty behind the madness,All over the world,Views,-1,-1,1,0,0,0,1
LS120,1,19,2 Male,2/9/2017,Examining,1,Legend,5,5,blurry face,a head full of dreams,beauty behind the madness,delirium,legend,views,x,a moon shaped pool,nothing has changed,25,blurry face,a head full of dreams,beauty behind the madness,delirium,legend,views,x,nothing has changed,a moon shaped pool,25,-1,-1,1,0,0,0,1
